post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47767676,5NF and Database Design,technology,39,6,petalmind,2026-04-14 22:53:55,0.15,False
47766370,Show HN: LangAlpha – what if Claude Code was built for Wall Street?,technology,26,9,zc2610,2026-04-14 22:54:02,0.3333333333333333,False
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,technology,37,9,mc-serious,2026-04-14 22:54:06,0.23684210526315788,False
47768195,"Spain to expand internet blocks to tennis, golf, movies broadcasting times",technology,5,2,akyuu,2026-04-14 22:54:12,0.3333333333333333,False
47767606,Show HN: Kelet – Root Cause Analysis agent for your LLM apps,technology,17,3,almogbaku,2026-04-14 22:54:19,0.16666666666666666,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,90,43,tie-in,2026-04-14 22:54:46,0.4725274725274725,False
47766430,War as a Pretext: Gulf States Are Tightening the Screws on Speech–Again,technology,21,0,hn_acker,2026-04-14 22:55:01,0.0,False
47728970,"Write less code, be more responsible",technology,151,98,orhunp_,2026-04-14 22:55:06,0.6447368421052632,True
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,63,8,adunk,2026-04-14 22:55:09,0.125,False
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,21,2,apollinaire,2026-04-14 22:55:12,0.09090909090909091,False
47753689,Building a CLI for all of Cloudflare,technology,322,105,soheilpro,2026-04-14 22:55:16,0.32507739938080493,True
47766330,To teach in the era of ChatGPT is to know pain,technology,20,2,ckemere,2026-04-14 22:55:17,0.09523809523809523,False
47708457,Rust Threads on the GPU,technology,105,33,PaulHoule,2026-04-14 22:55:23,0.3113207547169811,False
47764833,Stanford HAI Index Report 2026,technology,5,0,giuliomagnifico,2026-04-14 22:55:26,0.0,False
47729046,Air Powered Segment Display? [video],technology,126,12,ProfDreamer,2026-04-14 22:55:28,0.09448818897637795,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,86,29,mufeedvh,2026-04-14 22:55:36,0.3333333333333333,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,140,33,galaxyLogic,2026-04-14 22:55:39,0.23404255319148937,True
47764164,The Case Against Gameplay Loops,technology,50,48,coinfused,2026-04-14 22:55:46,0.9411764705882353,False
47767593,Stolen Rockstar Games analytics data leaked by extortion gang,technology,5,1,Brajeshwar,2026-04-14 22:55:50,0.16666666666666666,False
47750872,Servo is now available on crates.io,technology,463,147,ffin,2026-04-14 22:55:56,0.3168103448275862,True
47759292,The AI revolution in math has arrived,technology,99,50,sonabinu,2026-04-14 22:56:02,0.5,False
47755209,B-trees and database indexes (2024),technology,114,42,tosh,2026-04-14 22:56:05,0.3652173913043478,False
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,87,27,mfilion,2026-04-14 22:56:08,0.3068181818181818,False
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,87,43,bookofjoe,2026-04-14 22:56:11,0.48863636363636365,False
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,worldnews,14,1,Bender,2026-04-14 22:58:27,0.06666666666666667,False
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,82,77,adulion,2026-04-14 22:59:36,0.927710843373494,False
47763185,An open letter to the UK Government on digital privacy,worldnews,16,4,vsajip,2026-04-14 22:59:38,0.23529411764705882,False
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,14,1,cebert,2026-04-14 22:59:48,0.06666666666666667,False
47764690,Amazon to Buy Satellite Operator Globalstar,worldnews,5,0,marc__1,2026-04-14 23:00:45,0.0,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,277,neversaydie,2026-04-14 23:02:02,0.6309794988610479,True
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 23:03:50,0.14285714285714285,False
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,24,0,isaacfrond,2026-04-14 23:03:54,0.0,False
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 23:04:30,0.4722222222222222,True
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 23:09:04,0.3611111111111111,False
47745230,Sam Altman's home targeted in second attack,worldnews,152,362,babelfish,2026-04-14 23:09:26,2.366013071895425,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 23:09:46,0.9338422391857506,True
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 23:12:27,0.80625,True
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 23:12:54,0.3870967741935484,False
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,262,69,tlhunter,2026-04-14 23:14:10,0.2623574144486692,True
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 23:14:39,0.5064935064935064,False
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,9,0,matthest,2026-04-14 23:14:45,0.0,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,459,258,m-hodges,2026-04-14 23:17:08,0.5608695652173913,True
47761825,Roblox devs now need a subscription to share their games freely,sports,65,67,hallole,2026-04-14 23:18:40,1.0151515151515151,False
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,130,38,radeeyate,2026-04-14 23:19:22,0.2900763358778626,True
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 23:20:39,0.24281150159744408,True
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 23:21:22,0.23529411764705882,True
47698111,Bevy game development tutorials and in-depth resources,sports,139,72,GenericCanadian,2026-04-14 23:21:24,0.5142857142857142,True
47749295,Show HN: Equirect – a Rust VR video player,sports,13,1,greggman65,2026-04-14 23:22:21,0.07142857142857142,False
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-14 23:23:15,0.3132530120481928,False
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-14 23:28:18,0.2975206611570248,False
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,50,joeax,2026-04-14 23:31:17,0.5681818181818182,False
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 23:31:22,0.18181818181818182,False
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-14 23:32:28,0.046875,False
47758870,Let's Talk Space Toilets,science,38,5,zdw,2026-04-14 23:33:19,0.1282051282051282,False
47738343,The Physics of GPS,science,163,35,maouida,2026-04-14 23:39:15,0.21341463414634146,True
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,135,19,sohkamyung,2026-04-14 23:41:47,0.13970588235294118,True
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 23:42:42,0.5069984447900466,True
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 23:44:43,0.047619047619047616,False
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,31,13,thunderbong,2026-04-14 23:46:11,0.40625,False
