post_id,title,category,score,num_comments,author,collected_at
47767676,5NF and Database Design,technology,39,6,petalmind,2026-04-14 22:53:55
47766370,Show HN: LangAlpha – what if Claude Code was built for Wall Street?,technology,26,9,zc2610,2026-04-14 22:54:02
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,technology,37,9,mc-serious,2026-04-14 22:54:06
47768195,"Spain to expand internet blocks to tennis, golf, movies broadcasting times",technology,5,2,akyuu,2026-04-14 22:54:12
47767606,Show HN: Kelet – Root Cause Analysis agent for your LLM apps,technology,17,3,almogbaku,2026-04-14 22:54:19
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,90,43,tie-in,2026-04-14 22:54:46
47766430,War as a Pretext: Gulf States Are Tightening the Screws on Speech–Again,technology,21,0,hn_acker,2026-04-14 22:55:01
47728970,"Write less code, be more responsible",technology,151,98,orhunp_,2026-04-14 22:55:06
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,63,8,adunk,2026-04-14 22:55:09
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,21,2,apollinaire,2026-04-14 22:55:12
47753689,Building a CLI for all of Cloudflare,technology,322,105,soheilpro,2026-04-14 22:55:16
47766330,To teach in the era of ChatGPT is to know pain,technology,20,2,ckemere,2026-04-14 22:55:17
47708457,Rust Threads on the GPU,technology,105,33,PaulHoule,2026-04-14 22:55:23
47764833,Stanford HAI Index Report 2026,technology,5,0,giuliomagnifico,2026-04-14 22:55:26
47729046,Air Powered Segment Display? [video],technology,126,12,ProfDreamer,2026-04-14 22:55:28
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,86,29,mufeedvh,2026-04-14 22:55:36
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,140,33,galaxyLogic,2026-04-14 22:55:39
47764164,The Case Against Gameplay Loops,technology,50,48,coinfused,2026-04-14 22:55:46
47767593,Stolen Rockstar Games analytics data leaked by extortion gang,technology,5,1,Brajeshwar,2026-04-14 22:55:50
47750872,Servo is now available on crates.io,technology,463,147,ffin,2026-04-14 22:55:56
47759292,The AI revolution in math has arrived,technology,99,50,sonabinu,2026-04-14 22:56:02
47755209,B-trees and database indexes (2024),technology,114,42,tosh,2026-04-14 22:56:05
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,87,27,mfilion,2026-04-14 22:56:08
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,87,43,bookofjoe,2026-04-14 22:56:11
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,worldnews,14,1,Bender,2026-04-14 22:58:27
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,82,77,adulion,2026-04-14 22:59:36
47763185,An open letter to the UK Government on digital privacy,worldnews,16,4,vsajip,2026-04-14 22:59:38
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,14,1,cebert,2026-04-14 22:59:48
47764690,Amazon to Buy Satellite Operator Globalstar,worldnews,5,0,marc__1,2026-04-14 23:00:45
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,277,neversaydie,2026-04-14 23:02:02
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 23:03:50
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,24,0,isaacfrond,2026-04-14 23:03:54
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 23:04:30
